reactKey,timeStr,type,time,overloadTime,eventId,player,homeScore,awayScore,profileUrl,overloadTimeStr,isHome,ownGoal,goalDescription,goalDescriptionKey,suffix,suffixKey,isPenaltyShootoutEvent,nameStr,firstName,lastName,fullName,playerId,newScore,penShootoutScore,shotmapEvent,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,goal_scorer,matchRound,AwayTeamId
1396696827Goal1897441undefinedfalse,27,Goal,27,,13966968,"{'id': 1897441, 'name': 'Gonzalo Sosa', 'profileUrl': '/players/1897441/gonzalo-sosa'}",0,0,/players/1897441/gonzalo-sosa,False,False,,,,,,False,Gonzalo Sosa,Gonzalo,Sosa,Gonzalo Sosa,1897441,"[0, 1]",,,assist by Alan Forneris,/players/1648716/alan-forneris,1648716,assist_by,Alan Forneris,G. Sosa,1,10080
1396697337Goal1133119undefinedfalse,37,Goal,37,,13966973,"{'id': 1133119, 'name': 'Gastón Martirena', 'profileUrl': '/players/1133119/gaston-martirena'}",0,1,/players/1133119/gaston-martirena,False,False,,,,,,False,Gastón Martirena,Gastón,Martirena,Gastón Martirena,1133119,"[0, 2]",,,assist by Gonzalo Sosa,/players/1897441/gonzalo-sosa,1897441,assist_by,Gonzalo Sosa,Martirena,1,10080
1396713990Goal1274326undefinedfalse,90 + 4,Goal,90,4,13967139,"{'id': 1274326, 'name': 'Adrián Fernández', 'profileUrl': '/players/1274326/adrian-fernandez'}",1,2,/players/1274326/adrian-fernandez,+4,False,,,,,,False,Adrián Fernández,Adrián,Fernández,Adrián Fernández,1274326,"[1, 3]",,,assist by Matías Zaracho,/players/787262/matias-zaracho,787262,assist_by,Matías Zaracho,Fernández,1,10080
1396748561Goal1252913undefinedfalse,61,Goal,61,,13967485,"{'id': 1252913, 'name': 'Damián Bobadilla', 'profileUrl': '/players/1252913/damian-bobadilla'}",0,0,/players/1252913/damian-bobadilla,False,False,,,,,,False,Damián Bobadilla,Damián,Bobadilla,Damián Bobadilla,1252913,"[0, 1]",,,assist by Ferreira,/players/1098104/ferreira,1098104,assist_by,Ferreira,Bobadilla,1,10277
139675709Goal1200023undefinedfalse,9,Goal,9,,13967570,"{'id': 1200023, 'name': 'Ignacio Russo', 'profileUrl': '/players/1200023/ignacio-russo'}",0,0,/players/1200023/ignacio-russo,False,False,,,,,,False,Ignacio Russo,Ignacio,Russo,Ignacio Russo,1200023,"[0, 1]",,,,,Russo,1,89396
1396929017Goal1477849undefinedfalse,17,Goal,17,,13969290,"{'id': 1477849, 'name': 'Rodrigo Auzmendi', 'profileUrl': '/players/1477849/rodrigo-auzmendi'}",1,0,/players/1477849/rodrigo-auzmendi,False,False,,,,,,False,Rodrigo Auzmendi,Rodrigo,Auzmendi,Rodrigo Auzmendi,1477849,"[1, 1]",,,assist by Alexis Cuello,/players/989370/alexis-cuello,989370,assist_by,Alexis Cuello,Auzmendi,1,10083
1396942023Goal1458596undefinedfalse,23,Goal,23,,13969420,"{'id': 1458596, 'name': 'Rubén Lezcano', 'profileUrl': '/players/1458596/ruben-lezcano'}",0,0,/players/1458596/ruben-lezcano,False,False,,,,,,False,Rubén Lezcano,Rubén,Lezcano,Rubén Lezcano,1458596,"[0, 1]",,,assist by Romeo Benítez,/players/1368373/romeo-benitez,1368373,assist_by,Romeo Benítez,Lezcano,1,6619
1396943435Goal1030951undefinedfalse,35,Goal,35,,13969434,"{'id': 1030951, 'name': 'Juan Alfaro', 'profileUrl': '/players/1030951/juan-alfaro'}",0,1,/players/1030951/juan-alfaro,False,False,,,,,,False,Juan Alfaro,Juan,Alfaro,Juan Alfaro,1030951,"[0, 2]",,,assist by Romeo Benítez,/players/1368373/romeo-benitez,1368373,assist_by,Romeo Benítez,Alfaro,1,6619
1396948735Goal510698undefinedfalse,35,Goal,35,,13969487,"{'id': 510698, 'name': 'Sebastián Driussi', 'profileUrl': '/players/510698/sebastian-driussi'}",0,0,/players/510698/sebastian-driussi,False,False,,,,,,False,Sebastián Driussi,Sebastián,Driussi,Sebastián Driussi,510698,"[0, 1]",,,assist by Fabricio Bustos,/players/798148/fabricio-bustos,798148,assist_by,Fabricio Bustos,Driussi,1,10076
1396972627Goal174531undefinedfalse,27,Goal,27,,13969726,"{'id': 174531, 'name': 'Dudu', 'profileUrl': '/players/174531/dudu'}",1,0,/players/174531/dudu,False,False,,,,,,False,Dudu,,Dudu,Dudu,174531,"[1, 1]",,,,,Dudu,1,10272
1397098943Goal1626751undefinedfalse,43,Goal,43,,13970989,"{'id': 1626751, 'name': 'Wilfred Correa', 'profileUrl': '/players/1626751/wilfred-correa'}",0,0,/players/1626751/wilfred-correa,False,False,,,,,,False,Wilfred Correa,Wilfred,Correa,Wilfred Correa,1626751,"[0, 1]",,,,,Correa,1,7850
1397111688Goal424444undefinedfalse,88,Goal,88,,13971116,"{'id': 424444, 'name': 'Carlos Garcés', 'profileUrl': '/players/424444/carlos-garces'}",1,0,/players/424444/carlos-garces,False,False,,,,,,False,Carlos Garcés,Carlos,Garcés,Carlos Garcés,424444,"[1, 1]",,,assist by Cristian Souza,/players/841483/cristian-souza,841483,assist_by,Cristian Souza,Garcés,1,1845
1397124525Goal1042106undefinedfalse,25,Goal,25,,13971245,"{'id': 1042106, 'name': 'Jorge Valencia', 'profileUrl': '/players/1042106/jorge-valencia'}",1,0,/players/1042106/jorge-valencia,False,False,,,,,,False,Jorge Valencia,Jorge,Valencia,Jorge Valencia,1042106,"[1, 1]",,,assist by Tomás Ángel,/players/1236377/tomas-angel,1236377,assist_by,Tomás Ángel,Valencia,1,10280
